Level 1,Level 2,Description Ecological - general,Description FCC - general,"Description: Texture, shape and pattern - general"
Farming & Plantations (cultivated lands),Perennial Agro-forestry ," Agricultural lands with perennial woody crops, including tree plantations, orchards, and shrub crops, maintaining permanent cover for multiple years.
This encompasses tea gardens on Himalayan and Western Ghats slopes with manicured shrubs and shade trees, coffee plantations under forest canopy or as monocultures, rubber plantations with regular spacing and seasonal latex tapping, fruit orchards (mango, citrus, apple) with seasonal flowering and fruiting cycles, and coconut/arecanut gardens often with multi-tier cropping. These systems show distinct management signatures, including regular spacing, pruning patterns, shade trees in tea/coffee, and intercropping in coconut gardens. Regional specialisations include rubber in Kerala and North-East, tea in Assam and Nilgiris, coffee in Karnataka and Kerala, apples in Himachal Pradesh, and citrus in North-East and central India.
","In RGB (4-3-2), perennial crops appear consistently green with regular textural patterns from planted rows
- in NIR-R-G (5-4-3), they show steady red signatures with geometric patterns visible, varying in intensity with management practices
- In SWIR-NIR-R (6-5-4), they display moderate bright green year-round with subtle seasonal variations. 
- Unlike natural forests, these areas show regular spacing patterns, access roads, and processing infrastructure.
- Seasonal variations are subtle except for deciduous fruit orchards showing winter leaf fall, whilst tea gardens show periodic brightness changes after pruning cycles.","Texture: Medium to coarse
Shape: Regular
Pattern: can be quite regular (orchards, planted rows, e.g), visible geometric patterns, access roads and and processing infrastructure."
Farming & Plantations (cultivated lands),Forest Plantation,"Planted stands of native or exotic tree species established primarily for timber production, pulpwood, or restoration purposes.
 Forest plantations include teak and eucalyptus monocultures for timber and pulpwood, pine plantations in hills for resin and timber, bamboo plantations for the paper industry, abandoned plantations undergoing naturalisation with native species recruitment, and mixed species restoration plantings. These display characteristic even-aged stands with uniform height, regular spacing creating visible row patterns, minimal understory in active plantations, and varying management intensity from regularly thinned stands to abandoned areas. Rotation periods vary from 5-7 years for eucalyptus and bamboo to 30-60 years for teak, with clear-felling creating distinctive landscape patterns.
","- In RGB, plantations show uniform green with geometric patterns visible at high resolution,
in NIR-R-G, they display consistent bright red in rows or blocks, contrasting with irregular natural forest
- In SWIR-NIR-R, they show homogeneous green tones for active plantations, more variable for abandoned ones. 
- Temporal signatures reveal management activities: clear-cut areas appear as sudden brown patches, young plantations show increasing vigour over the years, whilst abandoned plantations gradually develop heterogeneous signatures as natural species establish.","Texture: Medium / relatively smooth in comparison to a natural forest where the canopy structure is more uneven. More coarse if the trees are more mature. 
Shape: Regular. rectangular, square, or straight-edged because plantations can typically show lines according plantations. 
Pattern: Regular (plantations can show up  as a regular pattern pattern spatially, geometric patterns at high resolution (or zooming in) present. Plantations across lines with even spacing, parallel lines, clusters with identical patterns"
Farming & Plantations (cultivated lands),"Mosaic, other, mixed - ?","Agricultural landscapes with intimate mixtures of different crop types, field sizes, and agricultural practices that cannot be separated at mapping resolution.  This includes smallholder farming systems with mixed cropping and crop rotations within small fields, agroforestry mosaics combining trees with crops in complex patterns (like homegardens), peri-urban agricultural areas with vegetables, flowers, and nurseries interspersed with built-up areas, and shifting cultivation patches in various fallow stages. These areas characterise much of India's agricultural landscape, where field sizes are below mapping resolution, farmers practice diverse cropping systems, and agricultural lands intermix with trees, settlements, and other land uses. Regional examples include Kerala homegardens, North-Eastern jhum cultivation mosaics, and peri-urban farming around major cities.
","- In RGB, mosaics show a patchwork of greens, browns, and intermediate tones without clear patterns
 - In NIR-R-G, they display heterogeneous red signatures with high spatial variance at the pixel level
- In SWIR-NIR-R, they show mixed signatures, preventing clear crop type identification. Temporal patterns are complex, with different patches showing asynchronous planting and harvesting, making single-date classification difficult; multi-temporal analysis reveals the agricultural nature through seasonal changes, though specific crop identification remains challenging without sub-pixel analysis techniques.-","- Texture: Rough
- Shape: Irregular
- Pattern: Irregular"
Non-vegetated areas,Built-up,"Areas dominated by constructed materials, including buildings, roads, and other impervious surfaces associated with human settlements and infrastructure.
Built-up areas encompass dense urban cores with multi-storey buildings and complete impervious cover, suburban areas mixing buildings with gardens and open spaces, rural settlements with clustered or dispersed houses amid agricultural lands, and linear infrastructure including highways, railways, and canal networks. Indian cities show characteristic dense organic growth patterns in old cores, planned colonies with geometric layouts, informal settlements with high density and irregular patterns, and expanding peri-urban zones where agricultural lands are progressively converted. Industrial areas, airports, and institutional campuses create distinct large-footprint features with specific spectral signatures.
","- In RGB (432), built-up areas appear grey to white for concrete, blue-grey for metal roofs, and red-brown for traditional tile/clay roofs
- In NIR-R-G, they show cyan to blue-grey due to low vegetation, with parks appearing as red patches
- in SWIR-NIR-R, they display bright white to yellow signatures from high reflectance of impervious surfaces. 
- Urban areas show stable signatures year-round, unlike agricultural areas, though urban vegetation shows seasonal variations
- Thermal imagery reveals urban heat islands, whilst night-time lights effectively delineate settlement extents and infrastructure networks.","- Texture: Coarse
- Shape: Regular (city blocks)
- Pattern: Regular/geometric"
Non-vegetated areas,Beaches,"Unconsolidated sediment zones between the mean low tide and the permanent vegetation line or cliff base along coastlines.Beaches comprise sandy shores along India's 7,500km coastline, varying from wide sandy expanses (Marina Beach, Puri) to narrow strips below cliffs, including composition variations from white coral sand to black mineral sand beaches. They display dynamic morphology with seasonal and storm-driven changes in width and profile, wrack lines marking high tide limits with debris accumulation, and varying levels of human modification from pristine to heavily developed tourist beaches. Beaches grade landward into dunes or directly into vegetation, whilst seaward they extend to surf zones, with width varying from metres to hundreds of metres based on tidal range and coastal geomorphology.
 ","- In RGB, beaches appear white to light yellow for dry sand, darker when wet.
 - in NIR-R-G, they show white to light grey with sharp contrast against dark water;.
- In SWIR-NIR-R, they display brilliant white signatures distinguishing them from all other land covers. 
- Tidal stage during image acquisition significantly affects beach width and spectral properties, with wet sand showing darker signatures.
- Seasonal variations include width changes during monsoons and spectral changes from moisture, whilst human activities create distinct patterns like beach shacks and access roads.","Texture: Homogenous/smooth but more coarse in case the beach has pebbles
Shape: Light strips around water, clear boundary between sea and water.
Pattern: Gradual change from sea to sand, ripple marks if you zoom in"
Non-vegetated areas,Sand dunes ,"Aeolian landforms composed of wind-deposited sand, occurring in coastal and inland desert environments with sufficient sand supply and wind energy.
Sand dunes include coastal dune systems along western and eastern coasts with vegetation-stabilised foredunes and mobile parabolic dunes, extensive inland dune fields in Rajasthan's Thar Desert with barchan, longitudinal, and transverse forms, and riverine point-bar dunes along major rivers during the dry season. Active dunes show mobile crests and slip faces with sparse or no vegetation, whilst stable/semi-stable dunes support xerophytic grasses (Saccharum) and shrubs (Calotropis, Prosopis), with dune morphology and movement rates controlled by wind regime, sand supply, and vegetation cover. Coastal dunes often show zonation from mobile foredunes through stable backdunes to scrub vegetation.
","- In RGB, dunes appear bright white to yellow for bare sand, with darker patches where vegetation establishes. 
- In NIR-R-G, they show pinkish colors
- In SWIR-NIR-R, bright white signatures dominate with exceptional reflectance in SWIR bands. 
- Dune crests and slip faces create characteristic shadow patterns aiding morphology interpretation; seasonal variations include slight darkening during monsoons from moisture and temporary vegetation on semi-stable dunes, whilst dune migration can be tracked through multi-temporal imagery showing systematic positional changes.
","- Texture:  Fine (sand)/homogenous
- Shape: Irregular (long, crescent, Ushape)
- Pattern: Irregular"
Non-vegetated areas,Mining areas,"Areas where earth materials are extracted through surface or near-surface excavation, including active mines, quarries, and associated waste deposits.
Mining areas encompass open-cast coal mines in Chhattisgarh, Odisha, and Jharkhand with vast excavations and overburden dumps, iron ore mines in Karnataka, Goa, and Odisha showing red-brown excavations, limestone quarries for the cement industry appearing as white scars, sand mining along rivers creating pits and stockpiles, and stone quarries on hillsides with benched excavations. These areas display characteristic disturbed topography with excavation pits, overburden/waste dumps, haul roads, processing infrastructure, and settling ponds, often with a complete absence of vegetation in active areas. Abandoned mines may show varying degrees of natural colonisation or engineered restoration with plantations.
","- In RGB, mining areas show varied colours from white (limestone) to red (iron ore) to black (coal) depending on extracted material
- In NIR-R-G, they appear in stark non-vegetated tones contrasting sharply with surroundings
- In SWIR-NIR-R, they display very bright signatures due to exposed mineral surfaces and absence of moisture. 
- Temporal analysis reveals expanding excavations, growing waste dumps, and new access roads; water-filled abandoned pits appear black in NIR, whilst rehabilitation efforts show gradually increasing vegetation signatures over time.
","- Texture: Irregular
- Shape: Irregular pits or benches for open pit mines
- Pattern: irregular / Distinguish roads around pits, terrace stepped"
Non-vegetated areas,"Other (Bare earth, rocky areas)","Exposed soil or rock surfaces lacking vegetation due to natural or anthropogenic factors, not classified under specific non-vegetated categories. This includes naturally bare areas like erosion-exposed soils on steep slopes and landslide scars, barren lands with soil limitations (salinity, alkalinity) preventing vegetation establishment, temporarily bare areas including harvested fields and construction sites, degraded lands with severe erosion exposing subsoil or bedrock, and mudflats in coastal and inland water bodies during low water periods. These areas often represent transitional states between vegetated and permanently non-vegetated categories, with potential for vegetation establishment given changed conditions or management. The distinction from rocky outcrops (2.4) is the absence of specialised lithophytic vegetation and the often temporary nature of bareness.
","- In RGB, bare areas show colours reflecting soil mineralogy from red (iron-rich) to white (salt) to grey (alluvial);
- In NIR-R-G, they appear brown to grey with no red vegetation signal
- in SWIR-NIR-R, they show bright signatures varying with soil moisture and composition. 
- Seasonal variations depend on the  cause of bareness: agricultural areas show cyclic vegetation-bare patterns, erosion areas may green slightly during monsoons, whilst salt-affected areas remain consistently bare; soil moisture after rain events temporarily darkens spectral signatures across all bands.
","Texture: Fine texture
Shape: Can be as as well regular or irregular
Pattern: Smooth"
Water,"River, lake or ocean","Natural flowing watercourses, including perennial and seasonal streams, from mountain torrents to meandering alluvial channels. Rivers range from Himalayan snow-fed perennial systems (Ganga, Brahmaputra) with high discharge and sediment loads, to peninsular seasonal rivers dependent on monsoon rainfall, including braided channels with multiple threads and mid-channel bars in alluvial reaches, and incised channels in rocky terrain. They display seasonal flow variations from flooding during monsoons to reduced flow or dry beds in summer, with water quality varying from clear mountain streams to sediment-laden plains rivers, affecting spectral properties. Channel morphology includes straight, meandering, braided, and anastomosing patterns, with associated features like oxbow lakes, point bars, and riparian zones.
","- In RGB, rivers appear blue to brown depending on sediment load.
- In NIR-R-G, they show black to dark blue due to complete NIR absorption by water.
- In SWIR-NIR-R, they appear black as water absorbs strongly in both NIR and SWIR bands
- Seasonal variations are dramatic: monsoon flooding expands water extent beyond normal channels
- Dry season reveals sand bars and reduced flow, whilst sediment plumes during high flow create brown tones extending downstream
- Narrow streams may be obscured by riparian vegetation requiring SWIR bands for detection.
","- Texture: Smooth
- Shape: Irregular
- Pattern: Irregular"
Water,Snow/Ice/Glaciers (34),"Areas covered by seasonal or permanent snow and ice, including glaciers, snowfields, and frozen water bodies.
This encompasses Himalayan glaciers from large valley glaciers (Gangotri, Siachen) to small cirque glaciers, with accumulation zones above snowline and ablation zones below, seasonal snow cover varying with elevation and aspect, typically above 3000m in winter extending to 5000m+ in summer, and frozen lakes and rivers at high elevations during winter months. Snow and ice features show distinct zonation from fresh snow (high albedo) to firn to glacier ice (lower albedo), with glacier surfaces featuring crevasses, icefalls, and debris cover in ablation zones. Climate change impacts are evident through retreating glacier termini, expanding proglacial lakes, and reduced snow cover duration.
","- RGB (432) - Snow and glaciers appear white
- NIR-SWIR-R - Snow and glaciers seem purple
- SWIR-NIR-R, snow appears uniquely cyan to blue due to ice absorption in SWIR whilst maintaining NIR reflectance
- Seasonal patterns show maximum snow extent in winter (January-February) and minimum in late summer (August-September)
glacier flow creates distinctive patterns, whilst avalanche deposits and seasonal snow can be distinguished from permanent ice through multi-temporal analysis.
","- Texture: Smooth (fresh snow), fine grained (e.g. wind), coarse (melting snow),. For glaciers: More streaked and showing crevisses.
- Shape: Snow not very much a shape
glaciers - fllow lines and crevasses for glaciers
Pattern: Flow lines and crevasses in glaciers in comparison to snow"
Water,Salt pans,"Flat expanses where saline water evaporates, leaving salt deposits, including natural playas and artificial evaporation ponds.
Salt pans include extensive artificial seawater evaporation ponds along Gujarat and Tamil Nadu coasts for salt production, natural inland salt lakes like Sambhar in Rajasthan with seasonal water and salt crust cycles, and small seasonal pans in arid regions filling during monsoons then evaporating to leave salt deposits. These features show characteristic sequences from brine ponds (varying salinity affecting colour) to crystalliser ponds to harvest-ready salt beds, with associated infrastructure including bunds, channels, and salt mounds in commercial operations. Natural salt pans display seasonal cycles of flooding, evaporation, and salt crystallisation, supporting specialised halophytic vegetation on margins.","- In RGB, salt pans vary from white (dry salt) to pink/green (brine with algae) to blue (water-filled)
- The characteristics look quite different in general whether the salt pans are for salt production or
are natural salt pans. 
-  In NIR-R-G, they show white for salt crusts, black for brine, with marginal vegetation appearing red
-  In SWIR-NIR-R, dry salt appears brilliant white whilst brine shows varying absorption based on depth and salinity.
- Seasonal patterns in natural pans show flooding during monsoons (dark/blue signatures) transitioning through evaporation stages to white salt crusts in the dry season
-  commercial salt pans show systematic colour gradients across evaporation sequences, with harvest cycles visible as patches of scraped versus unharvested areas.
",
